SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,4,9,02,Alaska,0,1,6,40,395,395,406,426,385,405,361,452,442,427,498
040,4,9,02,Alaska,0,2,1,40,417,417,419,412,435,422,432,476,476,519,493
040,4,9,02,Alaska,0,2,2,40,26,26,28,32,29,35,28,34,43,45,45
040,4,9,02,Alaska,0,2,3,40,39,39,39,44,46,45,39,39,42,53,61
040,4,9,02,Alaska,0,2,4,40,13,13,13,14,12,15,19,17,13,18,14
040,4,9,02,Alaska,0,2,5,40,3,3,4,5,2,5,4,6,8,1,6
040,4,9,02,Alaska,0,2,6,40,38,38,37,33,32,28,40,35,32,46,50
040,4,9,02,Alaska,1,0,1,40,3906,3906,3883,3686,3430,3155,3058,3288,3091,3286,3282
040,4,9,02,Alaska,1,0,2,40,227,227,231,212,241,214,215,197,229,220,245
040,4,9,02,Alaska,1,0,3,40,599,599,602,620,589,599,595,621,591,606,604
040,4,9,02,Alaska,1,0,4,40,266,266,267,271,298,309,294,284,284,286,279
040,4,9,02,Alaska,1,0,5,40,57,57,53,45,49,64,54,65,65,70,60
040,4,9,02,Alaska,1,0,6,40,218,218,223,226,186,203,201,228,225,210,268
040,4,9,02,Alaska,1,1,1,40,3694,3694,3673,3486,3195,2931,2845,3053,2853,3008,2987
040,4,9,02,Alaska,1,1,2,40,217,217,218,197,228,203,196,180,203,192,218
040,4,9,02,Alaska,1,1,3,40,579,579,582,599,564,581,577,601,573,586,568
040,4,9,02,Alaska,1,1,4,40,259,259,259,261,292,300,282,273,276,274,271
040,4,9,02,Alaska,1,1,5,40,55,55,51,44,49,61,53,62,60,70,59
040,4,9,02,Alaska,1,1,6,40,190,190,198,210,169,191,181,210,208,184,245
040,4,9,02,Alaska,1,2,1,40,212,212,210,200,235,224,213,235,238,278,295
040,4,9,02,Alaska,1,2,2,40,10,10,13,15,13,11,19,17,26,28,27
040,4,9,02,Alaska,1,2,3,40,20,20,20,21,25,18,18,20,18,20,36
040,4,9,02,Alaska,1,2,4,40,7,7,8,10,6,9,12,11,8,12,8
040,4,9,02,Alaska,1,2,5,40,2,2,2,1,0,3,1,3,5,0,1
040,4,9,02,Alaska,1,2,6,40,28,28,25,16,17,12,20,18,17,26,23
040,4,9,02,Alaska,2,0,1,40,3443,3443,3436,3313,3034,2873,2800,2825,2765,2953,2876
040,4,9,02,Alaska,2,0,2,40,154,154,155,166,151,151,121,134,136,154,145
040,4,9,02,Alaska,2,0,3,40,620,620,625,598,550,566,554,582,569,577,594
040,4,9,02,Alaska,2,0,4,40,362,362,359,354,355,357,350,356,341,370,411
040,4,9,02,Alaska,2,0,5,40,45,45,50,53,50,50,50,63,60,49,55
040,4,9,02,Alaska,2,0,6,40,215,215,220,233,231,230,200,259,249,263,280
040,4,9,02,Alaska,2,1,1,40,3238,3238,3227,3101,2834,2675,2581,2584,2527,2712,2678
040,4,9,02,Alaska,2,1,2,40,138,138,140,149,135,127,112,117,119,137,127
040,4,9,02,Alaska,2,1,3,40,601,601,606,575,529,539,533,563,545,544,569
040,4,9,02,Alaska,2,1,4,40,356,356,354,350,349,351,343,350,336,364,405
040,4,9,02,Alaska,2,1,5,40,44,44,48,49,48,48,47,60,57,48,50
040,4,9,02,Alaska,2,1,6,40,205,205,208,216,216,214,180,242,234,243,253
040,4,9,02,Alaska,2,2,1,40,205,205,209,212,200,198,219,241,238,241,198
